t_ms,ax,ay,az,gx,gy,gz
17798894,-0.7764,0.5863,0.2579,0.5493,-0.3052,-1.1597
17798904,-0.7732,0.5908,0.2563,0.9766,-0.3052,-1.0986
17798912,-0.7699,0.5928,0.2556,0.6104,-0.3662,-0.7324
17798923,-0.7664,0.5935,0.2567,0.4883,-0.3052,-0.4272
17798932,-0.7638,0.5946,0.2576,1.0986,-0.6714,-0.1831
17798942,-0.7631,0.5962,0.2568,0.9155,-0.6104,0.1831
17798951,-0.7616,0.5964,0.2566,0.4883,-0.4883,0.4272
17798960,-0.7610,0.5959,0.2555,0.5493,-0.4883,0.4272
17798970,-0.7653,0.5957,0.2531,0.5493,-0.1831,0.4883
17798979,-0.7701,0.5922,0.2523,-0.4272,0.5493,0.3052
17798988,-0.7725,0.5862,0.2539,-0.7935,1.0986,0.1221
17798998,-0.7760,0.5857,0.2582,-1.0986,1.1597,0.0000
17799008,-0.7784,0.5859,0.2651,-1.3428,0.9155,-0.1221
17799017,-0.7777,0.5813,0.2667,-1.5259,0.3052,-0.5493
17799027,-0.7764,0.5824,0.2611,-1.0986,-0.3662,-0.5493
17799036,-0.7742,0.5902,0.2550,0.5493,-1.1597,-1.0376
17799046,-0.7698,0.5935,0.2596,1.5259,-1.3428,-1.4038
17799055,-0.7671,0.5953,0.2617,0.7324,-0.6104,-1.2817
17799064,-0.7651,0.5947,0.2579,0.1221,-0.3662,-1.0986
17799074,-0.7633,0.5963,0.2588,-0.3052,-0.0610,-0.6714
17799084,-0.7632,0.5989,0.2560,-0.1221,0.0610,-0.4272
17799093,-0.7642,0.5950,0.2529,-0.0610,-0.0610,-0.1221
17799103,-0.7671,0.5922,0.2546,-0.2441,-0.0610,0.1221
17799112,-0.7701,0.5923,0.2578,0.1831,0.0000,-0.0610
17799122,-0.7747,0.5944,0.2577,-0.1831,0.3052,-0.1831
17799131,-0.7766,0.5927,0.2581,-0.8545,0.7935,-0.3662
17799140,-0.7767,0.5879,0.2587,-0.9155,0.8545,-0.6714
17799150,-0.7775,0.5867,0.2587,-0.7324,0.7324,-0.7935
17799160,-0.7753,0.5876,0.2593,-0.5493,0.3662,-0.9155
17799168,-0.7729,0.5900,0.2596,-0.1831,-0.1831,-0.9155
17799179,-0.7722,0.5923,0.2598,0.3052,-0.6714,-0.9766
17799188,-0.7725,0.5934,0.2583,0.4272,-0.9155,-0.8545
17799198,-0.7703,0.5930,0.2570,-0.1221,-0.7935,-0.4883
17799207,-0.7675,0.5917,0.2559,0.2441,-0.6104,-0.2441
17799216,-0.7679,0.5908,0.2550,0.2441,-0.6104,-0.1221
17799226,-0.7694,0.5909,0.2554,0.3052,-0.2441,0.0610
17799236,-0.7704,0.5908,0.2568,0.4883,-0.0610,0.0000
17799244,-0.7720,0.5918,0.2579,0.7935,-0.0610,0.0610
17799254,-0.7745,0.5916,0.2570,0.6714,-0.1221,0.0000
17799264,-0.7758,0.5892,0.2570,-0.0610,0.0610,0.1221
17799273,-0.7758,0.5879,0.2581,-0.1221,-0.0610,0.1221
17799283,-0.7731,0.5880,0.2583,0.1221,-0.2441,-0.0610
17799292,-0.7694,0.5898,0.2570,-0.0610,-0.3052,-0.1831
17799302,-0.7676,0.5906,0.2545,-0.2441,-0.0610,-0.4272
17799311,-0.7672,0.5900,0.2532,-0.1831,0.2441,-0.6104
17799320,-0.7667,0.5908,0.2532,-0.4883,0.7935,-0.6714
